"Secuencia","Codigo Producto","Producto","Ingles","Chino","Cantidad","Saldo","Costo","Fob","Fob Total"
"724","R200-6E1123ROJ","COBERTOR DE TANQUE IZQUIERDO 2023","","","20","20","7.27","",""
"729","R200-6E1126ROJ","LATERAL POSTERIOR IZQUIERDO THOR 2023","","","20","20","4.96","",""
"734","R200-6E1305","SOPORTE DE PEDAL DE FRENO","","","100","100","1.67","",""
"739","R200-6E1311","ESTRIBO DE PASAJERO DERECHO","","","20","20","3.83","",""
"744","R200-6E1608","ARO DELANTERO  21x1.60","Front wheel rim assy","","20","20","30.07","",""
"749","R200-9S1601","LUZ DE STOP","Taillight","","200","200","6.97","",""
"754","R200-9S1930","PORTACATALINA CON CATALINA","Buffer body assy","","30","30","13.49","",""
"759","R200-9S2017","CABLE DE ACELERADOR","Throttle cable","","100","100","1.04","",""
"764","R200-9S2401","BOBINA DE BUJIA","Ignition Coil","","32","32","4.99","",""
"769","R200-VR1103NEG","DECORATIVO DE MASCARILLA IZQUIERDO VORTEX II","","","1","1","2.75","",""
"774","R200-VR1302","PARTE POSTERIOR DE GUARDAFAGO DELANTERO","","","40","40","3.02","",""
"779","R200-VR1413","SOPORTE IZQUIERDO DE GUANDAFANGO POSTERIOR","Left bracket of rear fender","","200","200","4.13","",""
"784","R200-VR1901","ESTRIBO DE PASAJERO RH","","","200","200","6.03","",""
"789","R250-060117","EMPAQUE DE MOTOR  250-6I 2019/-","","","300","300","1.77","",""
"794","R250-060427","CARTER DERECH0    250-6I 2019","","","5","5","26.33","",""
"799","R250-062006","EMBRAGUE COMPLETO","Clutch assy","离合器主体","150","150","17.43","",""
"804","R250-063020","PASTILLAS DE FRENO","","后液压盘式制动器蹄片","200","200","2.55","",""
"809","R250-080904","TAPA DE FILTRO DE ACEITE DE LA TAPA DE EMBRAGUE 250-8 TITAN 250-6A","","","20","20","","",""
"814","R250-081208","PIÑON DE VELOCIMETRO 250-8 TITAN","","","30","30","4.74","",""
"819","R250-090301","ARO POSTERIOR 17x2.15  250-9A","","","30","30","45.27","",""
"824","R250-181306","ESTRIBO DE PASAJERO DERECHO 250-18D","","","30","30","3.39","",""
"829","R250-181504","CUBRE CADENA 250-18D","","","10","10","1.05","",""
"834","R250-5A4103","CADENILLA DE DISTRIBUCION","TIMIMG CHAIN","正时链条","300","300","17.72","",""
"839","R250-9A1210","DECORATIVO DE FARO JUEGO","Decorative block R, headlamp","","30","30","3.08","",""
"844","R250-9A1601","RETROVISOR JUEGO","Rear-right view mirror","","60","60","3.86","",""
"849","R250-9A1717","PATA DE APOYO","Side stand assy","","20","20","1.48","",""
"854","R250-9A2116","BOYA DE COMBUSTIBLE","","","20","20","1.84","",""
"859","R250-II0104","RECTIFICADOR 6 CABLES","","","50","50","3.44","",""
"864","R250-II0205","MESA DE SUSPENSION","","","6","6","8.35","",""
"869","R250-II0303","VELOCIMETRO    CHEIF II","Speedometer","","70","70","18.62","",""
"874","R250-II0312","DIRECCIONAL DELANTERA RH","","","100","100","4.11","",""
"879","R250-II0318","LLAVE DE PASO DE COMBUSTIBLE","","","20","20","1.09","",""
"884","R250-II0322","FRONTAL DE MASCARILLA 2022","","","50","50","7.94","",""
"889","R250-II0404","CUBRE CADENA","Chain cover","","20","20","1.82","",""
"894","R250-II0419ROJ","GUARDFANGO DELANTERO CHEIF II","","","20","20","9.85","",""
"899","R250-II0427","DECORATIVO DE MOTOR DERECHO","","","30","30","4.6","",""
"904","R250-II0433","BASE INTERIOR PLASTICA DE LUZ STOP","","","10","10","0.4","",""
"909","R250-II0436ROJ","LATERAL DE MASCARILLA IZQUIERDO CHIEFII  2022/-","","","70","70","14.88","",""
"914","R250-II0438","LATERAL CENTRAL DE MASCARILLA LH CHIEF II 2022/-","","","60","60","14.88","",""
"919","R250-II0439VRD","LATERAL POSTERIOR DERECHO 2022/-","","","20","20","6.64","",""
"924","R250-II0441NEG","TAPA LATERAL DERECHA 2022/-","","","20","20","2.94","",""
"929","R250-II0445VRD","GUARDAFANGO DELANTERO PARA BARRA INVERTIDA","","","40","40","10.28","",""
"934","R250-II0509","RETROVISOR IZQUIERDO CHEIF II","","","150","150","2.23","",""
"939","R250-II0514","TIMON LH CHEIF II","","","30","30","6.67","",""
"944","R250-II0523","MANIJA DE FRENO C/BOMBA 2013 ( B.INV )","","","70","70","21.76","",""
"949","R250-II0603","CIGUEÑAL  CHEIF II","Crankshaft","","30","30","26.23","",""
"954","R250-II0609","CABEZOTE","","","20","20","24.42","",""
"959","R250-II0616","BUJIA D8TC","","","100","100","0.92","",""
"964","R250-II0637","CONTRAPESA","","","10","10","19.54","",""
"969","R250-II0702","ESTRIBO DE CONDUCTOR IZQUIERDO  CHEIF II","FRONT FOOTREST, LEFT","","300","300","5.31","",""
"974","R250-II0707","PATA DE APOYO","","","10","10","3.02","",""
"979","R250-II0808","SISTEMA DE FRENO DELANTERO","","","5","5","38.78","",""
"984","R250-II0820","PASTILLA DE FRENO  DELANTERO LH","","","50","50","3.63","",""
"989","R250-II0826","EJE DE RUEDA DELANTERA CHIEF 2023 BARRA INV.","","","10","10","4.48","",""
"994","R250-SP2326","CATALINA 42D  5 HUECOS SPORT II VORTEX II","","","300","300","4.83","",""
"3","R125-300204","CADENILLA DEL MOTOR","CHAIN, SLEEVE ROLLER","","200","200","0.86","",""
"8","R125-300514","PLATO DE EMBRAGUE","DRIVE GEAR ASSY, PRIMARY","","12","12","4.31","",""
"13","R125-300615","MAGNETO","ROLLER ASSY","","50","50","6.75","",""
"18","R125-300907","DIRECCIONAL IZQUIERDO","Turninglight, LH","","70","70","1.81","",""
"23","R125-300932AZU","MASCARILLA DE DIRECCIONAL 2021","","","25","25","7.6","",""
"28","R125-300933ROJ","DECORATIVO IZQ. DE COBERTOR ENTRE PIERNAS 2023","","","30","30","5.21","",""
"33","R125-300937NEG","TAPA LATERAL IZQUIERDA 2023","","","70","70","5.44","",""
"38","R125-301112","BARRA TELESCOPICA DERECHA","Front shock absorber, RH","","20","20","13.15","",""
"43","R125-301518","CATALINA","Buffer assembly","","150","150","3.52","",""
"48","R125-301704","TANQUE DE COMBUSTIBLE","Gasoline tank assy","","10","10","30.44","",""
"53","R125-301908","RECTIFICADOR  (6CABLES)","Adjuster, pressure","","150","150","2.22","",""
"58","R125-CL0405","VALVULA JUEGO  COLT","","","20","20","2.96","",""
"63","R125-CL0705","SENSOR DE MARCHA  125-30A","","","4","4","0.84","",""
"68","R125-CL0904","KIT SWITCH COLT","","","30","30","8.78","",""
"73","R125-CL1101BLA","GUARDAFANGO DELANTERO  COLT","","","20","20","","",""
"78","R125-CL1309","ARO DE RUEDA DELANTERA","","","20","20","17.77","",""
"83","R125-CL1407","KIT DE PISTAS COLT","","","30","30","0.87","",""
"88","R125-CL1416","RETROVISOR IZQUIERDO","","","30","30","1.31","",""
"93","R125-CL1707","ARNES ELECTRICO COLT LOC","","","10","10","20","",""
"98","R150-000223","ASIENTO DE LOS BALANCINES","Rocker Arm Support","上摇臂组合","9","9","4.23","",""
"103","R150-000606","TAPA DE PIÑON DE ARRANQUE","Idler Cover","双联齿轮盖","10","10","1.79","",""
"108","R150-000715","CABLE VELOCIMETRO","Flexible cable, odometer","里程表软轴","150","150","1.18","",""
"113","R150-000815","CABLE DE EMBRAGUE","Clutch cable unit ","离合器拉索","150","150","1.04","",""
"118","R150-000916","ASIENTO","Seat ","座垫","60","60","10.66","",""
"123","R150-000941ROJ","TANQUE DE COMBUSTIBLE CLASICA 2023","","","25","25","25.44","",""
"128","R150-001029AZU","COBERTOR DE STOP MAS BASE Y STOP 150-0  2013","","","30","30","11.84","",""
"133","R150-001220","TUBO DE ESCAPE","Exhaust muffler assy","排气消声器总成","12","12","28.77","",""
"138","R150-001408","CDI","Control, ignition","点火控制器","200","200","1.83","",""
"143","R150-002115","TUBO DE ADMISION  ( CANISTER )","","","26","26","1.98","",""
